time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/std,train/value_loss,train/learning_rate,train/kl_loss_with_bc_model,train/n_updates,train/clip_fraction,train/explained_variance,train/loss,eval/mean_reward,eval/success_rate,eval/mean_ep_length
17,3607,2228224,617,4.030227389931679,-0.000349164040380856,0.00034863455,0.2,0.04331141710281372,46.29780330657959,0.00026854272,0.0599115788936615,80,0.00053863525390625,0.9322373270988464,19.20789337158203,,,
18,3606,2359296,654,3.8074234440922736,-0.000615639644820476,0.000688249,0.2,0.042992278933525085,44.54434138536453,0.00026657663999999997,0.07007532566785812,85,0.00111083984375,0.9312219992280006,19.253461837768555,,,
19,3605,2490368,690,3.9297148868441583,-0.00045908971296739767,0.00041251953,0.2,0.04294422268867493,42.6651478767395,0.00026461055999999996,0.08560031652450562,90,0.00041961669921875,0.9351610317826271,15.755658149719238,,,
20,3604,2621440,727,3.8783777445554732,-0.0003398103814106435,0.00041398528,0.2,0.04284198209643364,40.64218943119049,0.00026264447999999995,0.08265414088964462,95,0.00041961669921875,0.9386425241827965,15.902721405029297,,,
21,3607,2752512,763,3.804520884156227,-0.0001257393327250611,0.0004244676,0.2,0.042908817529678345,42.51655340194702,0.0002606784,0.09407708048820496,100,0.00052032470703125,0.9340509474277496,16.849933624267578,,,
22,3605,2883584,799,3.800057289004326,6.003981216053944e-05,0.00047037375,0.2,0.04280170053243637,39.51717619895935,0.00025871232,0.08680452406406403,105,0.000665283203125,0.9367914721369743,15.843635559082031,,,
23,3600,3014656,837,3.8977663695812224,0.00016056732638389804,0.00041060342,0.2,0.04287724941968918,43.773014712333676,0.00025674624,0.10233601182699203,110,0.00042266845703125,0.9330992698669434,15.435056686401367,,,
24,3593,3145728,875,3.6994989037513735,-0.0005036771879531443,0.0004775739,0.2,0.04292310029268265,40.89954122304916,0.00025478016,0.11062490940093994,115,0.0006256103515625,0.9414962530136108,15.36458969116211,,,
25,3595,3276800,911,3.855674256384373,-0.0002674493749509566,0.00055516197,0.2,0.04310707002878189,44.24854226112366,0.00025281408,0.10530702769756317,120,0.000604248046875,0.9360097795724869,16.770578384399414,,,
26,3597,3407872,947,3.7657579332590103,-0.00034777103828673714,0.0005970963,0.2,0.0429207943379879,42.481236743927,0.00025084799999999997,0.10834150016307831,125,0.0008453369140625,0.9375401809811592,15.442780494689941,,,
27,3592,3538944,985,4.056834182143211,4.846907177125104e-06,0.0004953876,0.2,0.042848896235227585,40.93091776371002,0.00024888191999999996,0.12694160640239716,130,0.000958251953125,0.9439347982406616,13.680368423461914,,,
28,3593,3670016,1021,4.023590043187141,-0.000615915722300997,0.0006809392,0.2,0.042675115168094635,40.63816616535187,0.00024691584,0.1403685212135315,135,0.00125579833984375,0.9450215399265289,16.044336318969727,,,
29,3596,3801088,1056,3.8554036557674407,-4.706228919530986e-05,0.00038572834,0.2,0.04268644377589226,40.85392831563949,0.00024494975999999995,0.14695779979228973,140,0.00050048828125,0.9411226361989975,13.799789428710938,,,
