bc/samples_so_far,bc/ent_loss,bc/neglogp,bc/epoch,bc/entropy,bc/prob_true_act,bc/l2_loss,bc/loss,bc/batch,batch_size,bc/l2_norm
131076096,0.006913061253726482,-6.8884550060864775,32,-6.913061141967773,3580.103703872132,0.0,-6.881541944832751,32000,4096,37996.2890625
133124096,0.0068877204321324825,-6.879491929596295,32,-6.887720108032227,3571.6585911631137,0.0,-6.872604209164162,32500,4096,38436.75
135172096,0.006917524617165327,-6.853927301685513,33,-6.917524337768555,3578.8043859493264,0.0,-6.847009777068347,33000,4096,38873.0390625
137220096,0.006910207215696573,-6.906887950347833,33,-6.9102067947387695,3512.691482536658,0.0,-6.899977743132136,33500,4096,39298.1015625
139268096,0.006933056283742189,-6.854455332605047,34,-6.933055877685547,3435.4583386462004,0.0,-6.847522276321305,34000,4096,39700.875
141316096,0.006926409900188446,-6.909025031749353,34,-6.926409721374512,3632.4900690380477,0.0,-6.902098621849165,34500,4096,40071.44921875
143364096,0.006961763836443424,-6.93748391243801,35,-6.961763381958008,3738.2912998423044,0.0,-6.9305221486015665,35000,4096,40417.875
145412096,0.006954294629395008,-6.945706301433572,35,-6.954294204711914,3696.5422217035857,0.0,-6.938752006804177,35500,4096,40741.73828125
147460096,0.006963628344237804,-7.016859403939884,36,-6.963627815246582,3715.40694849697,0.0,-7.009895775595647,36000,4096,41053.27734375
149508096,0.0069485194981098175,-6.9507047359158465,36,-6.948519229888916,3793.7635029883136,0.0,-6.943756216417737,36500,4096,41344.5234375
151556096,0.006941445171833038,-6.912789754647413,37,-6.9414448738098145,3588.0044535542665,0.0,-6.90584830947558,37000,4096,41618.5234375
153604096,0.006938773673027754,-6.887445250529325,37,-6.938773155212402,3559.2357086649095,0.0,-6.880506476856297,37500,4096,41873.19921875
155652096,0.006969168782234192,-6.932124574348799,38,-6.969168663024902,3657.343002454147,0.0,-6.9251554055665645,38000,4096,42124.9140625
157700096,0.006973888725042343,-6.982277207889768,38,-6.973888397216797,3692.728285232031,0.0,-6.975303319164726,38500,4096,42357.05078125
159748096,0.006957300938665867,-6.980853232946943,39,-6.957300662994385,3753.0441513404758,0.0,-6.973895932008277,39000,4096,42577.43359375
161796096,0.006973342504352331,-6.92833332903876,39,-6.973341941833496,3815.248971195264,0.0,-6.921359986534408,39500,4096,42801.8515625
163844096,0.006982545368373394,-7.0082978142436865,40,-6.982544898986816,3816.038764643902,0.0,-7.001315268875313,40000,4096,43006.9453125
165892096,0.006958134938031435,-6.988823012656926,40,-6.958134651184082,3680.1943806413115,0.0,-6.981864877718895,40500,4096,43199.41796875
167940096,0.006983405444771051,-6.8373354321310105,41,-6.983405113220215,3842.579314098403,0.0,-6.830352026686239,41000,4096,43399.45703125
169988096,0.006968815345317125,-6.963093382998663,41,-6.968814849853516,3691.922937995343,0.0,-6.956124567653346,41500,4096,43587.93359375
172036096,0.006961985491216183,-6.970280941868689,42,-6.961985111236572,3734.757033592486,0.0,-6.9633189563774724,42000,4096,43756.40234375
174084096,0.006981539074331522,-6.969248961730055,42,-6.981538772583008,3832.2576951990004,0.0,-6.9622674226557235,42500,4096,43924.7265625
176132096,0.006997729651629925,-6.981277746854937,43,-6.997729301452637,3831.793959816424,0.0,-6.9742800172033075,43000,4096,44079.1875
178180096,0.006980362348258495,-7.042615537909517,43,-6.9803619384765625,3899.6590795726597,0.0,-7.035635175561259,43500,4096,44226.69140625
180228096,0.006939536891877651,-6.983694551248483,44,-6.9395365715026855,3835.458250169951,0.0,-6.9767550143566055,44000,4096,44357.265625
182276096,0.0070304241962730885,-7.079660806039303,44,-7.030423641204834,4008.9101595945185,0.0,-7.07263038184303,44500,4096,44492.58203125
184324096,0.006995580159127712,-7.0475098056922905,45,-6.995579719543457,3731.802050959277,0.0,-7.040514225533163,45000,4096,44621.98828125
186372096,0.0069733355194330215,-7.0792358954528565,45,-6.973335266113281,3854.5719326367234,0.0,-7.0722625599334235,45500,4096,44743.20703125
188420096,0.007000843062996864,-7.0947372140498395,46,-7.000842571258545,4060.3393514716004,0.0,-7.087736370986843,46000,4096,44859.875
190468096,0.006971346214413643,-6.911814059813274,46,-6.971345901489258,3477.0515469377906,0.0,-6.90484271359886,46500,4096,44976.58984375
192516096,0.006995304021984339,-6.944440760304049,47,-6.995303630828857,3931.437835067892,0.0,-6.937445456282065,47000,4096,45095.87109375
194564096,0.007011060137301683,-6.91220147254095,47,-7.011059761047363,3920.349650842846,0.0,-6.905190412403648,47500,4096,45201.42578125
196612096,0.007015797775238752,-7.011865092242482,48,-7.0157976150512695,3990.940841745347,0.0,-7.004849294467244,48000,4096,45319.61328125
198660096,0.0070162583142519,-7.03648732969707,48,-7.0162577629089355,3957.879687579169,0.0,-7.029471071382818,48500,4096,45433.8046875
200708096,0.007011507172137499,-7.059380136723848,49,-7.011507034301758,3978.9396233767093,0.0,-7.052368629551711,49000,4096,45536.2421875
202756096,0.0070096999406814575,-6.963309143947727,49,-7.009699821472168,3822.9364054388952,0.0,-6.956299444007046,49500,4096,45643.46484375
204804096,0.007006633561104536,-7.033331069209737,50,-7.006633281707764,3671.606025385129,0.0,-7.0263244356486325,50000,4096,45742.1796875
206852096,0.006985266227275133,-6.9832912058620575,50,-6.985265731811523,3781.917854223864,0.0,-6.976305939634782,50500,4096,45843.3125
208900096,0.007048607338219881,-7.039453824771867,51,-7.048606872558594,4154.456394869094,0.0,-7.032405217433647,51000,4096,45948.25
210948096,0.007031730376183987,-6.988601395657908,51,-7.0317301750183105,3932.71593556706,0.0,-6.981569665281724,51500,4096,46050.3671875
212996096,0.007010599598288536,-7.058957246546837,52,-7.010599136352539,3852.395288988436,0.0,-7.051946646948548,52000,4096,46165.73828125
215044096,0.00699177710339427,-6.991772189047814,52,-6.991776943206787,3771.9343161667816,0.0,-6.98478041194442,52500,4096,46272.2421875
217092096,0.007004485931247473,-6.957766886296427,53,-7.004485607147217,3845.4432664711267,0.0,-6.950762400365179,53000,4096,46377.04296875
219140096,0.006999526638537645,-6.946914361633773,53,-6.999526500701904,3666.2172651295377,0.0,-6.9399148349952355,53500,4096,46483.28515625
221188096,0.007036364637315273,-7.069028907201249,54,-7.0363640785217285,4158.284942728756,0.0,-7.061992542563933,54000,4096,46580.51953125
223236096,0.007016951218247414,-7.052954076633386,54,-7.016951084136963,4185.953185468057,0.0,-7.045937125415138,54500,4096,46681.80078125
225284096,0.0069787343963980675,-7.009875236241193,55,-6.978734016418457,3726.017107238761,0.0,-7.002896501844795,55000,4096,46778.91015625
227332096,0.007049246225506067,-6.9454151036084495,55,-7.049245834350586,3778.4444231412554,0.0,-6.938365857382943,55500,4096,46883.5703125
229380096,0.007055268622934818,-7.063407429071044,56,-7.055268287658691,4161.319057241055,0.0,-7.056352160448109,56000,4096,46979.80859375
231428096,0.007051480934023857,-7.053978854677817,56,-7.051480770111084,4044.054939295344,0.0,-7.046927373743793,56500,4096,47068.5
233476096,0.007039530202746391,-7.026002737996375,57,-7.039529800415039,4045.8289032994,0.0,-7.018963207793629,57000,4096,47164.69140625
235524096,0.007010077591985464,-6.889197508133712,57,-7.010077476501465,3907.601602871565,0.0,-6.882187430541727,57500,4096,47246.8203125
237572096,0.007038914132863283,-7.036211395744044,58,-7.038913726806641,4062.788473929674,0.0,-7.029172481611181,58000,4096,47336.98046875
239620096,0.007038791198283434,-7.018190372081394,58,-7.038790702819824,4151.888744045971,0.0,-7.01115158088311,58500,4096,47417.8671875
241668096,0.007037652190774679,-7.0475943026080525,59,-7.037652015686035,4056.8391065678006,0.0,-7.040556650417278,59000,4096,47498.39453125
243716096,0.007052044849842787,-6.964423189464018,59,-7.05204439163208,4145.046367884808,0.0,-6.957371144614175,59500,4096,47575.73046875
245764096,0.0069977897219359875,-7.075370357797894,60,-6.99778938293457,3896.3595927581937,0.0,-7.068372568075958,60000,4096,47645.34375
247812096,0.007039803080260754,-7.0769615149055145,60,-7.039802551269531,4013.6866837786447,0.0,-7.069921711825254,60500,4096,47722.59765625
249860096,0.007028868887573481,-7.049017693493501,61,-7.028868675231934,4063.6830585618713,0.0,-7.0419888246059275,61000,4096,47790.265625
251908096,0.007035356014966965,-7.110508953641858,61,-7.035355567932129,3932.930239289426,0.0,-7.103473597626891,61500,4096,47860.5859375
253956096,0.007052011322230101,-7.08087424877796,62,-7.052011013031006,4168.995793368802,0.0,-7.07382223745573,62000,4096,47928.67578125
256004096,0.0070496522821486,-7.06857458156108,62,-7.049652099609375,3987.7172230844894,0.0,-7.0615249292789315,62500,4096,48009.1484375
258052096,0.007031006272882223,-7.021476965167033,63,-7.031005859375,4128.719814854621,0.0,-7.014445958894151,63000,4096,48083.796875
260100096,0.007061033509671688,-7.1259845249860225,63,-7.061033248901367,4110.938122984158,0.0,-7.118923491476351,63500,4096,48160.4921875
262148096,0.007032324094325304,-7.103860284973918,64,-7.032323837280273,4200.673805210399,0.0,-7.096827960879593,64000,4096,48235.10546875
264196096,0.007053561508655548,-7.146734935053743,64,-7.053561210632324,4047.833487780814,0.0,-7.139681373545088,64500,4096,48312.62890625
266244096,0.007070405408740044,-6.963346322907986,65,-7.070405006408691,4067.4027328680904,0.0,-6.956275917499246,65000,4096,48382.46875
268292096,0.007040795870125294,-7.084408023509178,65,-7.04079532623291,4025.3660947281537,0.0,-7.077367227639053,65500,4096,48445.73828125
270340096,0.00705648772418499,-7.098121627022634,66,-7.056487560272217,4084.99737205001,0.0,-7.091065139298449,66000,4096,48510.24609375
272388096,0.0070755560882389545,-7.102181300388814,66,-7.075555801391602,4283.4583693663835,0.0,-7.095105744300575,66500,4096,48583.44140625
274436096,0.007062459364533424,-6.997464732404053,67,-7.0624589920043945,4176.687791141207,0.0,-6.990402273039519,67000,4096,48643.23046875
276484096,0.007019500248134136,-6.960279453207777,67,-7.019499778747559,3901.8753927783728,0.0,-6.953259952959643,67500,4096,48702.0234375
278532096,0.007069889921694994,-7.011028295757386,68,-7.069889545440674,3948.433456826393,0.0,-7.003958405835691,68000,4096,48760.98046875
280580096,0.007026510778814554,-7.072168119898065,68,-7.026510238647461,4021.3143779169327,0.0,-7.065141609119251,68500,4096,48816.16015625
282628096,0.007070025894790888,-7.041775249746539,69,-7.070025444030762,4014.0116069776936,0.0,-7.0347052238517485,69000,4096,48866.22265625
284676096,0.007010585628449917,-7.032728099981541,69,-7.010585308074951,3890.310700314486,0.0,-7.025717514353091,69500,4096,48911.95703125
