time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/kl_loss_with_bc_model,train/value_loss,train/explained_variance,train/kl_coef,train/std,train/n_updates,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/loss,train/learning_rate,train/approx_kl,eval/success_rate,eval/mean_reward,eval/mean_ep_length
19,2719,915,2490368,0.2596997320652008,28.25694681406021,0.9586246348917484,0.001,0.0028222217224538326,90,0.0040313720703125,0.2,-0.0004131771151151042,11.650423860549926,12.86105728149414,0.00015844224,0.001772976,,,
20,2712,966,2621440,0.3042440712451935,26.28439292907715,0.9640631526708603,0.001,0.002817190019413829,95,0.00438690185546875,0.2,0.0002884994144551456,11.851901465654374,12.53151798248291,0.00015057791999999997,0.0017627999,,,
21,2712,1014,2752512,0.3604238033294678,25.01550289392471,0.9638544954359531,0.001,0.002811466110870242,100,0.002215576171875,0.2,0.000280005485547008,11.761976200342179,11.634295463562012,0.0001427136,0.0013947916,,,
22,2712,1063,2883584,0.35168370604515076,23.533004677295686,0.9695753138512373,0.001,0.002811834681779146,105,0.006231689453125,0.2,0.000669102856045356,11.734813410043717,10.67892837524414,0.00013484928,0.0021520967,,,
23,2711,1111,3014656,0.3803776204586029,24.91406613588333,0.9686262123286724,0.001,0.0028083152137696743,110,0.00607757568359375,0.2,-4.095469230378512e-05,11.646611750125885,11.93604564666748,0.00012698495999999997,0.002163839,,,
24,2712,1159,3145728,0.44118064641952515,22.978895699977876,0.9679158963263035,0.001,0.0028116432949900627,115,0.00487213134765625,0.2,0.0003033925651834579,11.861717873811722,8.653258323669434,0.00011912063999999999,0.0017895938,,,
25,2712,1207,3276800,0.48359644412994385,26.867128467559816,0.9665126726031303,0.001,0.0028113480657339096,120,0.00387420654296875,0.2,-0.0006172714485728648,11.589872884750367,12.554542541503906,0.00011125632,0.0016706357,,,
26,2713,1256,3407872,0.5162834525108337,22.521957802772523,0.970643512904644,0.001,0.0028082742355763912,125,0.0054107666015625,0.2,0.0006023382651619613,11.672167265415192,9.842334747314453,0.00010339199999999998,0.0020296439,,,
27,2712,1304,3538944,0.5553181171417236,23.489398729801177,0.9710471965372562,0.001,0.002805907279253006,130,0.00242919921875,0.2,-6.408043300325517e-05,11.728293579816818,10.85830307006836,9.552767999999999e-05,0.0014356391,,,
28,2711,1353,3670016,0.594359278678894,21.53044010400772,0.9719029981642962,0.001,0.002803548239171505,135,0.00167388916015625,0.2,-0.0002383569757512305,11.917913049459457,9.860111236572266,8.766335999999999e-05,0.0012074255,,,
