bc/loss,bc/entropy,bc/samples_so_far,bc/batch,batch_size,bc/l2_norm,bc/l2_loss,bc/ent_loss,bc/prob_true_act,bc/epoch,bc/neglogp
-5.068253536479816,-4.965290546417236,15362048,7500,2048,11422.951171875,0.0,0.004965290892869234,6629.484260474053,4,-5.073218827372685
-5.446663049903899,-5.292118072509766,16386048,8000,2048,11934.056640625,0.0,0.005292118526995182,11722.217859181139,4,-5.451955168430894
-5.6915440800183354,-5.467660903930664,17410048,8500,2048,12390.62109375,0.0,0.005467661190778017,19018.579870834456,4,-5.6970117412091135
-5.342787081105801,-5.254261016845703,18434048,9000,2048,12852.5478515625,0.0,0.0052542611956596375,16198.765174444467,5,-5.34804134230146
-5.702237406659728,-5.5143141746521,19458048,9500,2048,13293.58203125,0.0,0.0055143143981695175,23097.05338523189,5,-5.707751721057898
-5.531635612175947,-5.509539604187012,20482048,10000,2048,13741.6162109375,0.0,0.005509539972990751,27129.94466253741,5,-5.537145152148938
-5.866524275432486,-5.640801906585693,21506048,10500,2048,14142.6181640625,0.0,0.005640801973640919,33670.222646010865,5,-5.872165077406127
-5.447224598075314,-5.5632805824279785,22530048,11000,2048,14592.939453125,0.0,0.005563281010836363,34842.50982840704,6,-5.45278787908615
-6.254200998200148,-6.12031888961792,23554048,11500,2048,15042.5517578125,0.0,0.0061203190125525,52314.05678550013,6,-6.260321317212701
-5.960693047232583,-5.800655364990234,24578048,12000,2048,15446.2333984375,0.0,0.005800655577331781,39947.1048875737,6,-5.966493702809915
-5.999396488203947,-5.806495666503906,25602048,12500,2048,15838.0205078125,0.0,0.005806495901197195,47374.53350414658,7,-6.005202984105145
-6.010517718456681,-5.884537696838379,26626048,13000,2048,16236.1611328125,0.0,0.005884537938982248,51098.82393242183,7,-6.016402256395663
-5.803030418797766,-6.14372444152832,27650048,13500,2048,16626.392578125,0.0,0.006143724545836449,65590.70224292332,7,-5.809174143343602
-6.014540546920186,-6.031060218811035,28674048,14000,2048,16977.62109375,0.0,0.006031060591340065,64934.69647602919,7,-6.020571607511526
-5.618270674626251,-5.934800148010254,29698048,14500,2048,17354.814453125,0.0,0.005934800487011671,69101.71862871706,8,-5.624205475113262
-6.230926273320774,-6.133706569671631,30722048,15000,2048,17706.037109375,0.0,0.006133706774562597,70852.8345713708,8,-6.237059980095337
-6.138541296517987,-6.075992584228516,31746048,15500,2048,18041.365234375,0.0,0.006075992714613676,75851.03163681405,8,-6.144617289232601
-6.212743999408583,-6.10074520111084,32770048,16000,2048,18388.171875,0.0,0.006100745406001806,80704.37829168752,9,-6.218844744814585
-6.140939179731044,-6.156611442565918,33794048,16500,2048,18737.2734375,0.0,0.00615661172196269,87483.15464099293,9,-6.147095791453006
-6.179003400972844,-6.059234142303467,34818048,17000,2048,18998.947265625,0.0,0.006059234496206045,59563.88905521882,9,-6.18506263546905
-6.474506471042056,-6.326320648193359,35842048,17500,2048,19373.267578125,0.0,0.006326321046799421,129434.2618433884,9,-6.480832792088855
-6.123997150078696,-6.187752723693848,36866048,18000,2048,19740.525390625,0.0,0.006187752820551395,105784.85370693463,10,-6.130184902899248
-6.396362588832474,-6.270122528076172,37890048,18500,2048,20134.42578125,0.0,0.006270122714340687,113111.80974434451,10,-6.402632711546815
-6.663898601648056,-6.383517265319824,38914048,19000,2048,20508.751953125,0.0,0.006383517757058144,123767.75096774654,10,-6.6702821194051145
-6.2909387251570825,-6.080604076385498,39938048,19500,2048,20805.794921875,0.0,0.006080604158341885,105740.33540995361,11,-6.297019329315424
-6.129559205791695,-6.082581043243408,40962048,20000,2048,21212.23046875,0.0,0.006082581356167793,94661.93474606395,11,-6.135641787147863
-6.5610739209109425,-6.439855575561523,41986048,20500,2048,21607.1875,0.0,0.0064398557879030704,150435.98196421145,11,-6.567513776698846
-6.2166492315053725,-6.224785804748535,43010048,21000,2048,21967.560546875,0.0,0.006224785931408405,119243.93440177248,11,-6.222874017436781
-6.666881598015575,-6.47835636138916,44034048,21500,2048,22365.484375,0.0,0.006478356663137674,135391.29883136097,12,-6.673359954678713
-6.00777332160615,-6.277342319488525,45058048,22000,2048,22771.302734375,0.0,0.006277342792600393,132730.4796124905,12,-6.01405066439875
