time/fps,time/time_elapsed,time/episodes,rollout/success_rate,time/total_timesteps,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
400,110,180,0.0,44136,0.22430622577667236,0.00029867615999999995,-7.463071346282959,5004,0.14220097661018372,-15.327936172485352,,,
401,111,184,0.0,44936,0.21774688363075256,0.00029865216,-7.594183921813965,5104,2.3237175941467285,-14.934593200683594,,,
402,115,188,0.0,46656,0.20433339476585388,0.00029860056,-7.858428001403809,5319,0.4323566257953644,-14.510215759277344,,,
402,117,192,0.0,47480,0.19818532466888428,0.00029857584,-7.856683254241943,5422,1.0839797258377075,-14.568862915039062,,,
403,120,196,0.0,48616,0.19008955359458923,0.00029854176,-8.038312911987305,5564,0.19163762032985687,-14.72011947631836,,,
,,,,49152,0.18637722730636597,0.00029852568,-8.236723899841309,5631,1.9404431581497192,-14.537496566772461,-250.28457080573043,272.53125,0.03125
393,126,200,0.0,49608,0.18330372869968414,0.00029851199999999996,-8.19174575805664,5688,0.4853779673576355,-14.528769493103027,,,
393,127,204,0.0,50216,0.17929792404174805,0.00029849375999999993,-8.452784538269043,5764,0.30722230672836304,-14.319372177124023,,,
393,130,208,0.0,51216,0.17283374071121216,0.00029846375999999995,-8.56022834777832,5889,1.1938743591308594,-14.023908615112305,,,
394,133,212,0.0,52800,0.1630995124578476,0.00029841624,-8.757450103759766,6087,1.6095203161239624,-13.87559700012207,,,
394,137,216,0.0,54112,0.15549342334270477,0.00029837687999999994,-8.950653076171875,6251,1.284914255142212,-14.228449821472168,,,
395,139,220,0.0,55304,0.1488758772611618,0.00029834112,-9.161293983459473,6400,0.4048342704772949,-14.561985969543457,,,
395,142,224,0.0,56200,0.1441641002893448,0.00029831423999999995,-8.982864379882812,6512,0.6990681886672974,-14.257644653320312,,,
,,,,57344,0.13828711211681366,0.00029827992,-9.30023193359375,6655,2.3158504962921143,-13.946968078613281,-268.2431265929147,213.90625,0.0
389,149,228,0.0,58344,0.13341958820819855,0.00029824991999999995,-9.272429466247559,6780,1.069277048110962,-13.117074966430664,,,
389,151,232,0.0,59216,0.12926988303661346,0.00029822375999999997,-9.305570602416992,6889,1.9759635925292969,-13.219230651855469,,,
390,154,236,0.0,60368,0.12409789860248566,0.0002981892,-9.675783157348633,7033,2.7568225860595703,-13.642862319946289,,,
391,157,240,0.0,61496,0.11924529820680618,0.00029815536,-9.575998306274414,7174,0.2712666988372803,-13.426851272583008,,,
391,160,244,0.0,62920,0.1133255884051323,0.00029811263999999994,-9.02135944366455,7352,1.2574059963226318,-13.196760177612305,,,
392,162,248,0.0,63696,0.1102372333407402,0.00029808936,-9.570725440979004,7449,0.5674706697463989,-12.49793815612793,,,
393,165,252,0.0,65160,0.10463207215070724,0.00029804543999999996,-9.980062484741211,7632,0.36661121249198914,-12.387834548950195,,,
,,,,65536,0.10321144014596939,0.00029803416,-10.578764915466309,7679,154.18539428710938,-12.07398796081543,-220.88153573500938,150.28125,0.03125
387,169,256,0.0,65776,0.10232294350862503,0.00029802695999999997,-9.583391189575195,7709,16.357406616210938,-12.369184494018555,,,
387,171,260,0.0,66432,0.09993181377649307,0.00029800727999999995,-10.60470962524414,7791,0.22929909825325012,-12.628606796264648,,,
388,174,264,0.0,67720,0.09534674882888794,0.00029796863999999995,-10.06552505493164,7952,0.29585742950439453,-12.231749534606934,,,
388,176,268,0.0,68824,0.09165926277637482,0.00029793551999999997,-10.132089614868164,8090,1.2440471649169922,-11.975617408752441,,,
389,180,272,0.0,70112,0.087562695145607,0.00029789688,-10.592738151550293,8251,1.6708145141601562,-11.559022903442383,,,
390,184,276,0.0,71832,0.08244451880455017,0.00029784527999999994,-10.495040893554688,8466,1.408875823020935,-11.49134635925293,,,
390,185,280,0.0,72328,0.0810481533408165,0.0002978304,-10.248538970947266,8528,98.57858276367188,-11.547203063964844,,,
390,187,284,0.0,73184,0.0787491574883461,0.00029780472,-10.966201782226562,8635,1.3256269693374634,-11.662718772888184,,,
,,,,73728,0.07723122090101242,0.0002977884,-10.511709213256836,8703,0.8657397031784058,-11.276924133300781,-222.67909770480665,128.53125,0.0
386,193,288,0.0,74744,0.07455164194107056,0.00029775791999999996,-9.770097732543945,8830,0.4108703136444092,-11.404338836669922,,,
386,197,292,0.0,76344,0.07051925361156464,0.00029770991999999996,-10.450948715209961,9030,1.406198263168335,-11.284460067749023,,,
386,199,296,0.0,77056,0.06880437582731247,0.00029768856,-10.958873748779297,9119,2.1850194931030273,-11.661022186279297,,,
387,202,300,0.0,78424,0.0656542032957077,0.00029764752,-10.718106269836426,9290,0.600250244140625,-10.815402030944824,,,
387,205,304,0.0,79568,0.06316661834716797,0.00029761319999999997,-9.905532836914062,9433,0.2702905535697937,-10.656103134155273,,,
388,207,308,0.0,80408,0.061373114585876465,0.00029758799999999994,-10.947673797607422,9538,0.8841564655303955,-10.731584548950195,,,
,,,,81920,0.05827179551124573,0.00029754263999999997,-11.555542945861816,9727,0.7331580519676208,-10.506237030029297,-226.44495750872684,151.46875,0.0
385,212,312,0.0,81952,0.0582047738134861,0.00029754167999999996,-12.163232803344727,9731,0.15634208917617798,-10.350394248962402,,,
385,214,316,0.0,82768,0.05654842033982277,0.0002975172,-9.187304496765137,9833,1.1485049724578857,-10.4736967086792,,,
386,216,320,0.0,83768,0.054683733731508255,0.00029748719999999994,-10.8136568069458,9958,0.2077668011188507,-10.503898620605469,,,
386,218,324,0.0,84520,0.05329116806387901,0.00029746464,-10.162565231323242,10052,1.341342568397522,-10.145130157470703,,,
387,221,328,0.0,85776,0.05102131515741348,0.00029742695999999995,-10.445777893066406,10209,1.7075300216674805,-8.490457534790039,,,
387,223,332,0.01,86424,0.049976542592048645,0.00029740751999999995,-10.643366813659668,10290,1.3573702573776245,-9.692512512207031,,,
387,225,336,0.01,87408,0.04825982451438904,0.000297378,-11.03520679473877,10413,1.4330811500549316,-9.493780136108398,,,
388,228,340,0.01,88552,0.04633208364248276,0.00029734368,-9.095914840698242,10556,1.2932415008544922,-9.316230773925781,,,
,,,,90112,0.043890710920095444,0.00029729687999999996,-11.563467979431152,10751,1.0325068235397339,-8.638484001159668,-228.68565927672893,151.40625,0.0
384,234,344,0.01,90192,0.04376719146966934,0.00029729447999999996,-10.738303184509277,10761,0.6951285600662231,-8.678394317626953,,,
