time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/approx_kl,train/kl_coef,train/clip_fraction,train/loss,train/value_loss,train/std,train/kl_loss_with_bc_model,train/learning_rate,train/entropy_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/n_updates,eval/mean_ep_length,eval/success_rate,eval/mean_reward
101580800,,,,0.06464621,0.10362275839999999,0.4482635498046875,12.718960762023926,33.369197201728824,0.014488829299807549,0.3071381151676178,0.00014782540799999997,9.6188238799572,0.2,0.9112787991762161,-0.05753360194212291,5780,201.78125,0.6770833333333334,-99.95690921517757
101580800,775,27866,3645,,,,,,,,,,,,,,,,
101711872,,,,0.056821175,0.10349823999999999,0.43936767578125,14.408493041992188,37.9642379283905,0.014483313076198101,0.30076345801353455,0.0001476288,9.60662088394165,0.2,0.9004268869757652,-0.05650048742536455,5785,200.42708333333334,0.6770833333333334,-97.39596114704726
101711872,776,27904,3645,,,,,,,,,,,,,,,,
101842944,,,,0.057851937,0.1033737216,0.4333770751953125,10.791451454162598,36.30097484588623,0.014478722587227821,0.3164348006248474,0.00014743219199999999,9.553847390413285,0.2,0.9078564494848251,-0.05906911005731672,5790,217.88541666666666,0.5729166666666666,-112.41334028521975
101842944,777,27941,3644,,,,,,,,,,,,,,,,
101974016,,,,0.06196274,0.1032492032,0.4479736328125,12.321301460266113,35.690811729431154,0.01448296569287777,0.3216678500175476,0.00014723558399999998,9.541965687274933,0.2,0.9093842506408691,-0.06109110021207016,5795,197.53125,0.6666666666666666,-101.88214279440932
101974016,778,27977,3644,,,,,,,,,,,,,,,,
102105088,,,,0.05485179,0.10312468479999999,0.4220458984375,17.850643157958984,42.825154054164884,0.014486445114016533,0.30649828910827637,0.00014703897599999997,9.582474809885024,0.2,0.9002914428710938,-0.05892318098049145,5800,206.35416666666666,0.6458333333333334,-99.99539611566557
102105088,779,28012,3644,,,,,,,,,,,,,,,,
102236160,,,,0.058895312,0.1030001664,0.42872161865234376,14.126612663269043,36.94890856742859,0.014478637836873531,0.3129444122314453,0.000146842368,9.574552065134048,0.2,0.9112488776445389,-0.06298579800350126,5805,195.375,0.6770833333333334,-101.12882258142531
102236160,780,28048,3645,,,,,,,,,,,,,,,,
102367232,,,,0.06134115,0.102875648,0.44245758056640627,15.392587661743164,35.52256718873978,0.014470759779214859,0.3097921907901764,0.00014664576,9.567633271217346,0.2,0.909826435148716,-0.060028910178516526,5810,212.73958333333334,0.6145833333333334,-111.51974537400982
102367232,781,28085,3644,,,,,,,,,,,,,,,,
102498304,,,,0.059374884,0.1027511296,0.44419708251953127,13.748427391052246,37.939222800731656,0.014468371868133545,0.3084760904312134,0.00014644915199999998,9.587032246589661,0.2,0.9038468599319458,-0.05795278051809873,5815,209.125,0.6458333333333334,-103.84547721810243
102498304,782,28121,3644,,,,,,,,,,,,,,,,
102629376,,,,0.059856087,0.1026266112,0.4526336669921875,12.432039260864258,31.780224537849428,0.014468593522906303,0.31182509660720825,0.000146252544,9.664594799280167,0.2,0.9189842566847801,-0.058677692053606734,5820,221.57291666666666,0.5729166666666666,-113.59452241953822
102629376,783,28158,3644,,,,,,,,,,,,,,,,
102760448,,,,0.057218283,0.1025020928,0.42855682373046877,15.518768310546875,39.41022735834122,0.014464505016803741,0.3272862136363983,0.000146055936,9.615458327531815,0.2,0.9031682908535004,-0.06108386073756265,5825,196.34375,0.6458333333333334,-104.73296282516587
102760448,784,28194,3644,,,,,,,,,,,,,,,,
